Label,precision,recall,f1-score,support
AirTag,1.0,1.0,1.0,8207.0
SmartTag,1.0,1.0,1.0,8208.0
Tile,1.0,1.0,1.0,8207.0
other Device,1.0,1.0,1.0,8207.0
,,,,
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,32829.0
weighted avg,1.0,1.0,1.0,32829.0
