Label,precision,recall,f1-score,support
AirTag,0.637,1.0,0.778,8207.0
SmartTag,1.0,1.0,1.0,8208.0
Tile,1.0,1.0,1.0,8207.0
other Device,1.0,0.43,0.601,8207.0
,,,,
accuracy,0.857,0.857,0.857,0.857
macro avg,0.909,0.857,0.845,32829.0
weighted avg,0.909,0.857,0.845,32829.0
